Response,CleanedResponse,Topic,TopicText,X,Y
"Arts organizations seek stability, affordability, specific physical characteristics, good maintenance, and <br>shared governance. ",art organization seek stability affordability specific physical characteristic good maintenance share governance,1,Support events organized by local groups for the community,10.550508,-0.84052604
"Opportunities for public access to the arts spaces through cafes, open-studio, <br>events, art crawls, art businesses, and arts organizations. ",opportunity public access art space case openstudio event art crawl art business art organization,2,Create more affordable theatres and spaces for artists and small businesses,-14.706507,-47.311436
"I think a new venue in the 300-seat range is needed, <br>but when it comes to smaller ones and things like <br>rehearsal space, I wonder about all the venues that currently <br>sit empty most of the time. We need an online <br>database of Kelowna venues. If there was a database of <br>venues we do have, and if the person or organization <br>that ran this database maintained relationships with each venue and <br>the people in charge there, I wonder how much usage <br>we might all get from the venues we already have. <br>",think new venue seat range need come small one thing like rehearsal space wonder avenue currently sit empty time   need online database kelowna avenue   database avenue person organization run database maintain relationship venue people charge wonder much usage may get avenue already,2,Create more affordable theatres and spaces for artists and small businesses,-25.54253,-55.51242
Create infrastructure grant like the Neighbourhood grant program to support new <br>initiatives ,create infrastructure grant like neighbourhood grant program support new initiative,3,"Encourage, support and promote local businesses and artists",-23.681648,22.05698
"Revitalize downtown Halloween costume parade, pet parade ",devitalise downtown halloween costume parade pet parade,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-20.210455,-5.692233
Community grant to allow businesses to support and boost opportunities ,community grant allow business support boost opportunity,3,"Encourage, support and promote local businesses and artists",-24.163143,22.811394
Bring cultural vitality to the street level Land Art Generator commission <br>,bring cultural vitality street level art generator commission,4,Provide more opportunities in the city for cultural and heritage groups,7.5014997,39.916615
The only facility that is affordableflexible is the Black Box ,facility affordableflexible black box,1,Support events organized by local groups for the community,18.535082,1.1640496
A little less red type on programming options getting on the <br>same page ,little less red type programming option   get page,1,Support events organized by local groups for the community,34.106,-4.2520065
"We are really missing a midsize venue with 300 seats, we <br>have ones that seat huge audiences and that is too <br>expensive because the performing arts community doesnt have that kind <br>of money ",really miss midwife venue seat one seat huge audience expensive perform art community kind money,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-2.5597525,4.3078475
The arts community also needs a space where they can hold <br>early shows that start at 7 p. m. instead of <br>11 p. m. or midnight to accommodate audiences of all <br>ages. ,art community also need space hold early show start p   instead p   midnight accommodate audience age,4,Provide more opportunities in the city for cultural and heritage groups,6.519923,11.553431
"We also need to shift to accommodate a broader demographic of <br>audience. The community here tonight March 18 is talking about <br>how they feel, a lot of people in the Okanagan <br>would love to come to a show and they want <br>to enhance their quality of life. But a lot of <br>people in the Okanagan, they dont know what is going <br>on, and the venues that the shows are at are <br>not the ones they want to go to ",also need shift accommodate broad geographic audience   community tonight march talk feel lot people okanagan would love come show want enhance quality life   lot people okanagan not know go avenue show one want go,3,"Encourage, support and promote local businesses and artists",-38.2138,33.899597
"The need for a multipurpose cultural space where members of the <br>arts community could practice and perform, an app and working <br>with existing establishments such as the media and Tourism Kelowna <br>to attract tourists to the events happening in town. ",need multipurpose cultural space member art community could practice perform pp work exist establishment medium tourism kelowna attract tourist event happen town,2,Create more affordable theatres and spaces for artists and small businesses,-26.210512,-55.990494
Support initiatives coming from the community not just the 4 professional <br>arts groups. ,support initiative come community professional art group,4,Provide more opportunities in the city for cultural and heritage groups,7.6144075,35.215065
Support local talent in the city by helping fund a space <br>where they can perform. ,support local talent city help fund space perform,1,Support events organized by local groups for the community,48.382977,-11.527016
"Artists are met with a wall when they start talking about <br>money. There are grants and you can apply for them <br>but once you start looking into these grants there is <br>a skill set that 99 per cent of artists dont <br>possess, and that is being able to write an analytical <br>multi-page grant application in a legalistic format. Hope that the <br>city will create another format in which artists can apply <br>for funding or grants. ",artist meet wall start talk money   grant apply start look grant skill set per cent artist not possess able write analytical multiple grant application realistic format   hope city create another format artist apply funding grant,4,Provide more opportunities in the city for cultural and heritage groups,2.7151008,59.086445
"I believe in the cultural plan we should boldly state that <br>we value the healing implied in the Truth and reconciliation <br>process and project a commitment to it being a central <br>part of our cultural development. This would be an important <br>signal not just to local and neighbouring First Nations communities, <br>but to all who have faced trauma. It would declare <br>that difficult and even long-past experiences of trauma matter and <br>that healing is valued by the community as a whole. <br>",believe cultural plan boldly state value healing imply truth reconciliation process project commitment central part cultural development   would important signal local neighbour first nation community face trauma   would declare difficult even long experience trauma matter healing value community whole,2,Create more affordable theatres and spaces for artists and small businesses,-28.272278,-57.022346
