Postal Code,Age,Gender,Latitude,Longitude,Culture Centre,C_Postal_Code,C_Latitude,C_Longitude,Distance (kms)
V1Y 8W8,45 to 54,Male,49.869277,-119.477905,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,3.325
V1Y 8W8,45 to 54,Male,49.869277,-119.477905,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,3.919
V1Y 8W8,45 to 54,Male,49.869277,-119.477905,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,3.326
V1Y 8W8,45 to 54,Male,49.869277,-119.477905,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,3.488
V1Y 8W8,45 to 54,Male,49.869277,-119.477905,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,3.445
V1Y 8W8,45 to 54,Male,49.869277,-119.477905,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,3.251
V1P 1S8,55 to 64,Female,49.91389,-119.337007,,,,,
V1Y 4W4,65 and up,Female,49.855437,-119.487344,Society for Learning in Retirement,V1Y 3A8,49.890057,-119.47988,5.028
V1Y 4W4,65 and up,Female,49.855437,-119.487344,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,4.74
V1Y 4W4,65 and up,Female,49.855437,-119.487344,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,4.663
V1Y 4W4,65 and up,Female,49.855437,-119.487344,Kelowna Community Concert Association,V1Y 9N9,49.882209,-119.486121,3.527
V1X 1Y2,55 to 64,Female,49.888935,-119.398717,Kelowna ArtWalk,V4V 1Z7,50.010724,-119.420289,18.502
V1X 1Y2,55 to 64,Female,49.888935,-119.398717,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,10.229
V1W 0A1,65 and up,Female,49.833732,-119.48361,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,7.541
V1W 0A1,65 and up,Female,49.833732,-119.48361,Rutland Activity Centre,V1X 5H1,49.895996,-119.382338,13.862
V1W 5M1,65 and up,Female,49.805085,-119.470237,Gallagher's Canyon Golf & Country Club,V1W 3Z8,49.84061,-119.375666,14.364
V1Y 5T5,55 to 64,Male,49.877977,-119.473424,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,3.149
V1Y 5M5,25 to 34,Male,49.875441,-119.485502,,,,,
V1V 2M7,45 to 54,Female,49.893867,-119.436769,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,6.257
V1V 2M7,45 to 54,Female,49.893867,-119.436769,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,6.017
V1V 1W6,55 to 64,Female,49.925659,-119.445048,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,7.34
V1V 1W6,55 to 64,Female,49.925659,-119.445048,Creekside Theatre,V4V 1Y7,50.032554,-119.402273,14.424
V1V 1W6,55 to 64,Female,49.925659,-119.445048,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,7.58
V1V 1W6,55 to 64,Female,49.925659,-119.445048,Benvoulin Heritage Church,V1W 2C8,49.873488,-119.443339,7.464
V1V 1W6,55 to 64,Female,49.925659,-119.445048,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,7.615
V1V 1W6,55 to 64,Female,49.925659,-119.445048,Kasugai Gardens,V1Y 1J4,49.888127,-119.496436,7.635
V1X 8G2,25 to 34,Female,49.891199,-119.415062,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,7.553
V1X 8G2,25 to 34,Female,49.891199,-119.415062,Kelowna Community Concert Association,V1Y 9N9,49.882209,-119.486121,5.795
V1Y 6X3,25 to 34,Male,49.890226,-119.4854855,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,0.997
V1Y 6X3,25 to 34,Male,49.890226,-119.4854855,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,1.111
V1Y 4W4,45 to 54,Female,49.855437,-119.487344,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,4.601
V1Y 4W4,45 to 54,Female,49.855437,-119.487344,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,4.364
V1Y 4W4,45 to 54,Female,49.855437,-119.487344,Parks Alive!,V1Y 1K2,49.88294,-119.496597,3.832
V1Y 7H7,25 to 34,Male,49.896425,-119.464996,,,,,
V1Y 7C9,45 to 54,Female,49.89355,-119.48285,,,,,
V1X 7V8,55 to 64,Female,49.944274,-119.361752,Rutland Centennial Hall,V1X 3B2,49.890032,-119.386902,7.843
V1V 1R4,35 to 44,Female,49.919265,-119.448088,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,6.403
V1V 1R4,35 to 44,Female,49.919265,-119.448088,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,6.119
V1Y 2T1,25 to 34,Female,49.8741225,-119.486789,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,2.049
V1Y 2T1,25 to 34,Female,49.8741225,-119.486789,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,2.285
V1Y 2T1,25 to 34,Female,49.8741225,-119.486789,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,2.124
V1Y 2T1,25 to 34,Female,49.8741225,-119.486789,Mosaic Books,V1Y 6N8,49.886322,-119.49494,1.907
V1W 4Z7,55 to 64,Male,49.805213,-119.486651,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,11.039
V1W 4Z7,55 to 64,Male,49.805213,-119.486651,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,10.964
V1W 4Z7,55 to 64,Male,49.805213,-119.486651,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,11.2
V1W 5C5,55 to 64,Female,49.799136,-119.496472,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,10.949
V1W 5C5,55 to 64,Female,49.799136,-119.496472,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,10.874
V1W 5C5,55 to 64,Female,49.799136,-119.496472,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,11.111
V1W 5C5,55 to 64,Female,49.799136,-119.496472,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,10.889
V1W 5C5,55 to 64,Female,49.799136,-119.496472,Rutland Centennial Hall,V1X 3B2,49.890032,-119.386902,16.609
V1W 4P6,25 to 34,Female,49.812158,-119.483197,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,10.095
V1W 4P6,25 to 34,Female,49.812158,-119.483197,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,9.882
V1Y 5B9,35 to 44,Male,49.867318,-119.488095,Pandosy Village,V1Y 1T2,49.874419,-119.491189,1.018
V1V 1J1,25 to 34,Female,49.894717,-119.427982,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,6.501
V1V 1J1,25 to 34,Female,49.894717,-119.427982,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,6.941
V1Y 6V9,35 to 44,Male,49.889322,-119.4856265,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,0.917
V1Y 5C6,35 to 44,Female,49.868266,-119.491138,,,,,
V1W 4V1,35 to 44,Female,49.793732,-119.516312,,,,,
V1P 1E3,55 to 64,Male,49.868314,-119.372292,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,11.494
V1P 1E3,55 to 64,Male,49.868314,-119.372292,Prospera Place,V1Y 9V1,49.892657,-119.496618,11.892
V1P 1E3,55 to 64,Male,49.868314,-119.372292,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,11.832
V1P 1E3,55 to 64,Male,49.868314,-119.372292,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,12.272
V1P 1E3,55 to 64,Male,49.868314,-119.372292,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,12.116
V1P 1E3,55 to 64,Male,49.868314,-119.372292,The Laurel Packinghouse,V1Y 1Z9,49.889195,-119.493507,11.494
V1P 1E3,55 to 64,Male,49.868314,-119.372292,Okanagan Military Museum,V1Y 2A5,49.887349,-119.493489,11.289
