CleanedResponse,Response,Topic_LDA,X,Y
human intellectual creative music art literature dance,"Any human intellectual or creative activity, e.g. music, art, literature, dance, <br>etc. ",1,-11.896556,-7.354242
experience,Experiencing and knowing about other cultures ,3,11.879513,-23.837448
creative artistic pursuit express ethnicity spirituality emotional weakness,"The creative artistic pursuits of a group of people to express <br>their ethnicity, spirituality, emotional wellness ",1,-11.03897,-6.020829
paint theatre figure state craft,"Painting, theatre, figure skating, crafts, etc. ",2,5.181133,-0.1663055
music art dance present enjoyment fulfillment soul,"Culture is music, art , and dance activities presented for the <br>enjoyment of others and fulfillment of our soul. ",1,-12.476574,-5.509688
past present future knowledge opportunity,"Past, Present and Future knowledge and opportunity. ",1,-11.764543,-5.329109
necessarily historic significant meaning area,"Things that are not necessarily historic, but have significant meaning to <br>the area and people. ",2,6.135451,0.2622531
art manifestation human intellectual achievement collectively,the arts and other manifestations of human intellectual achievement regarded collectively. <br>,1,-11.959785,-6.3092804
ethnic representationartmusictheatre,Ethnic representation Art Music Theatre ,2,4.26258,0.20483214
artistic social historyheritage sport educationalphilosophical pursuit case live city pursuit past continue relate today,"Artistic, social, history/heritage, sports and educational/philosophical pursuits by a group of <br>people - in our case those living in the city <br>of Kelowna - and pursuits in the past that continue <br>to relate today. ",1,-11.938762,-9.881856
something expand world view perspective draw heritage art experience create wide understanding world around,"something that expands your world view and perspectives, draws on heritage, <br>backgrounds, arts and experiences to create a wider understanding of <br>the world around. ",1,9.508867,-21.268589
share tradition story art fashion community note always multiple overlapping community never monolithic community,"The shared traditions, stories, art, fashion, etc. of a community. Note <br>that there are always multiple overlapping communities, never one monolithic <br>Community. ",2,4.3270082,-0.03746648
go participate day job concert walk state enjoying outdoor music hear downtown happy family kiss funbeautiful lake clean,"All the activities that I go out and participate in that <br>are not my day job! the concerts, the parks, the <br>people out walking/ skating enjoying Kelowna outdoors. The music I <br>hear downtown, the happy families, kids having fun, beautiful lake <br>and clean parks. ",1,-11.550801,-10.766859
habit ritual performance action give meaning physical aspect environment give sense interact,"Our habits, rituals, performances, and actions that give us meaning. The <br>physical aspects of our environment that give us a sense <br>of place. How we interact with each other and our <br>space. ",2,6.1309824,-0.16995308
peopleartand feeling city uniqueness,The people....art...and 'feeling' of a city and it's uniqueness ,3,12.861053,-26.203577
encompass history ancient recent ethnic diversity art music community direct focus area indigenous flora find wildlife learn climate geography topography region impact growth forget car show branch,"Culture should encompass history - both ancient & recent; ethnic diversity; <br>art; music; the how's and why's of why a community <br>came to be; all with a directed focus on the <br>area's indigenous people, flora, fauna and wildlife. Also, learning about <br>the climate, geography and topography of a region and how <br>that has impacted growth. And don't forget car shows, 4-H/Ranching <br>events! ",1,-12.804652,-8.19537
form art entertainment history community celebrate community community identify,"Any form of art, entertainment and history that belongs to a <br>community, made by and celebrated by community members. Culture helps <br>community members identify with each other. ",1,-12.546342,-3.439996
see something unique art form human intellectual achievement community outsider participate freely community,I see culture as something that can uniquely define a group <br>of people. It is the arts and other forms of <br>human intellectual achievement that bring a community together and help <br>outsiders to participate more freely in that community. ,1,-11.84299,-9.539121
actually matter society music drama art dance knowledge individually describe collectively community,"The things that actually matter in a society -- music, drama, <br>art, dance, knowledge -- that individually describe us and collectively <br>define us a community ",1,-11.709147,-9.91931
history share experience form express creative art community emerge develop generate unique identity impart resident visitor tourist,"Culture is place, history and shared experience formed and expressed through <br>the creative arts and community activities. As culture emerges and <br>develops, it generates a unique identity that impacts the lives <br>of residents, visitors and tourists. ",1,1.4643294,-0.4652327
collectively social form,What people collectively enjoy as well as social norms. ,1,-10.695332,-2.2578855
engage connect express community,"The ways in which we engage, connect, and express ourselves within <br>our communities. ",1,-11.388405,-3.106043
art manifestation human intellectual achievement collectively,the arts and other manifestations of human intellectual achievement regarded collectively. <br>,1,-11.959785,-6.3092804
set share tradition food music dance custom artistic expression language,"A set of shared traditions, food, music, dance, customs, artistic expression <br>and language ",1,-9.144079,-3.545561
gather relationship root tradition family,"Gathering, relationship, roots, traditions, family ",1,-11.463264,-4.4444118
history art music drama sport,"Culture is history, art, music, drama, and sports. ",1,-11.877406,-4.8822274
display celebrate community,How a group of people displays and celebrates themselves as a <br>community. ,1,-10.055497,-1.9056677
encompass word describe region city attitude demeanour live infrastructure economy environment art collect alike live,"Culture is an encompassing word that describes a regions or cities <br>attitude and demeanor. It lives in the infrastructure, it's economy, <br>it's environment, it's people, it's parks and it's art. It <br>is what collects people who are alike to live together <br>",1,-11.651558,-10.20624
heritage,"background, heritage, being true to yourself ",3,11.759072,-24.087502
heritage past learn ancestor,"Heritage, our past, learn about our ancestors ",3,13.238936,-26.178165
would behave upland,Would like to see/have more culture in Rutland ,2,5.7034574,0.0397212
acceptance many type peopledifferent food clothing tradition musician environment around youcan positive negative,"'-acceptance of many different types of people -different foods, clothing, traditions, <br>music -it's your environment & people around you -can be <br>positive or negative ",3,13.404995,-27.970047
dance involve art liberty involve important,"good dance involve, arts, liaberry, get together involve in all culture <br>most important ",1,-11.506363,-3.2609806
art museum cultural,"arts, museums, cultural events ",2,5.2859883,0.41356945
belief race gender sexual identity ethnicity,"different beliefs including race, gender, sexual identity, ethnicity etc. ",1,-9.156812,-2.9530578
art community,"arts, community, activities ",1,-9.564804,-1.5888714
combination art music vast variety,a combination of different art and music events from a vast <br>variety of peoples ,3,11.306847,-23.76557
heritage,people's background and heritage ,3,11.759072,-24.087502
representation live community practicesbelief,Culture is a representation of the people that live in a <br>community and their practices/beliefs etc. ,1,-11.18318,-2.563058
music diversity,"music, people, diversity ",3,9.95086,-21.852385
expression artistic soul community,expression of the artistic soul of the community ,1,-11.239266,-3.2916203
base ethnicity,based on ethnicity ,3,12.571427,-24.98113
music art community,"music, art, community activities ",1,-10.607892,-2.2380283
live canada try cope,for me its a way of living. I am not from <br>Canada but I try to cope to this culture ,2,5.887579,0.6451761
important society nation represent identity,It is very important for any society or nation. It represents <br>their identity. ,1,-11.814477,-5.368353
sharing everyone heritage language song dance art food wisdom learn custom become tolerant world,"The sharing of everyone's heritage ... their languages, their songs, their <br>dance, their art, their food, their wisdom ... so that <br>we can learn about and from other people, enjoy their <br>customs and become more tolerant of all people in the <br>world. ",3,13.925467,-26.316904
ethnicity art craftstalent intelligenceinovation community negative hopelessness fiction poverty,"Ethnicity, arts /crafts/talents, intelligence/inovations/ ideas of the community as a whole <br>including the negative such as homelessness/a diction, poverty, ",3,13.731806,-26.159958
current active creative expression engagement recording preservation society past creative output architecture design build environment perform art visual art fine craft urinary creation fleeting temporary long sense permanent,"Culture includes current, active creative expression and engagement as well as <br>the recording and preservation of our societies past creative output. <br>This includes architecture and the design of our build environment, <br>to performing arts, visual arts, fine craft, and culinary creation. <br>Some culture is fleeting, some is temporary in a longer <br>sense and other is very permanent. ",1,-11.496072,-11.295767
important welling community quality resident economic vagrancy city create want live celebration,"Culture is important to the wellbeing of the community, the quality <br>of life for all residents and the economic vibrancy of <br>the city. It helps to create a place where people <br>want to live with celebrations, activities and spaces. ",1,-11.5076885,-9.566664
expression tradition talent visual art dance theatre audit music poem speech play singing craft base woodwork pottery weave digital design practical work refine talent practice beauty everyday,"An expression of the traditions and talents of people. It can <br>be visual, like art, dance theatre; audio such as music, <br>poems, speeches plays singing . It can be craft based <br>such as woodworking pottery, weaving, digital design - practical work <br>that is refined through talent and practice that brings beauty <br>to everyday life. ",1,-11.679077,-10.8863125
expand enrich,Life expanding and enriching ideas and activities ,3,12.388205,-25.179443
artistic social product community society produce,Culture is the artistic and social product a community or society <br>produces ,1,-11.73209,-6.443487
music specific regionpeople pass generation generation,music + a way of life specific to a region/people passed <br>down generation to generation ,1,-11.636003,-4.2543015
think large show art,I think Kelowna has a large (culture) from shows to the <br>art. Kelowna has it all. ,3,12.876749,-25.159979
togetherness diversity,way of togetherness despite diversity ,3,12.450611,-25.087053
artlocal restaurantscommunity music,Art/local restaurants/community events/ music ,3,11.251091,-23.572048
ethnicity,"Different ethnicities, people coming together ",3,11.795944,-23.9293
create sense community,Creating a sense of community and belonging ,1,-10.505794,-2.1330707
celebrate respect participate tradition belief,Different groups of people celebrating and respecting where they come from <br>and how they were brought up and participating in different <br>traditions and beliefs their culture has ,3,13.206977,-25.782372
area discourse build live live build individually neighbourhood city,"Culture is the areas and discourses that help to build up <br>peoples lives, what they enjoy, what they do and how <br>they live. It builds up people individually, neighbourhoods and citys. <br>",1,-12.083013,-6.47584
enrich add sparkle normal,Culture is what enriches life. It is the thing that adds <br>sparkle to normal life. ,3,12.579572,-26.477482
collective reflection belief experience history specific community express art music literature community garden community dinner park represent local,"Culture is a collective reflection of the values, beliefs, experiences, and <br>history of a specific community. It is expressed through art, <br>music, literature and also through activities that bring people together, <br>like community gardens, community dinners, and Park events. Culture should <br>represent locals. ",1,-12.673108,-7.9539247
expression art heritage personality whether personal civic national broad level narrowly always intimately unique change,"Culture is the expression of art, heritage, and personality whether on <br>a personal, civic, national, or broader level. Culture cannot be <br>narrowly defined, because it is always intimately unique and changing. <br>",3,13.394065,-27.886055
act artifact describe community identity,Acts and artifacts that describe and define a community's identity ,1,-11.708431,-4.8672028
unique sense identity share among,a unique sense of identity and belonging shared amoung a group <br>of people ,1,-11.437541,-4.539599
set facility community provide sense,A set of facilities and events that brings the community together <br>and provides a sense of belonging. ,1,-12.122898,-4.6245565
art music sport ethnic diversity community togetherness,"Arts, Music, Sports, Ethnic Diversity, Community togetherness ",1,9.486333,-21.24904
experience artistic unique surrounding,Experiencing artistic and unique surroundings ,3,13.002154,-25.562384
canadian british decent,Canadian (British decent) ,3,12.451841,-26.07876
experience reflect support observe appreciate artistic intellectual beautiful inspiring work production art,"To experience, reflect, support, observe and appreciate - the artistic, intellectual, <br>beautiful and inspiring works, productions and arts. ",2,6.5240326,0.5884687
diversity sound taste speech ethnicity sharing harmony,"Diversity of sounds, tastes, speech, and ethnicity sharing in harmony. ",3,13.190511,-27.546705
acquaintance taste fine art humanity broad aspect science distinguish vocational technical skill,"acquaintance with and taste in fine arts, humanities, and broad aspects <br>of science as distinguished from vocational and technical skills ",3,13.554314,-27.791267
diversity,Diversity ,3,11.988592,-23.918478
visible physical audible enable aspect community provide unique feel look vice reflect resident interest common language expression enjoyment live,"Visible, physical, audible, and edible aspects of a community that provide <br>a unique feel, look, or vibe that reflects residents interests, <br>backgrounds, common languages, ways of expression and enjoyment of where <br>they live. ",2,4.7538567,-0.25363058
society reflect express art input ethnic community,Culture defines who we are as a society - it reflects <br>our values and who we are. Our culture is expressed <br>through the arts and it should include input from the <br>different cultures and ethnic groups that make up our community. <br>,1,-11.952183,-7.11379
amalgamation various mean artistic expression music drama visual art,"The amalgamation of various means of artistic expression through music, drama <br>and visual arts. ",1,1.623373,-0.4427904
