Time,Age,Gender,Response,CleanedResponse,Topic,Topic_Description,X,Y
Jul 17 18 08:40:26 am,45 to 54,Male,"Financial and other support (e.g. performance venues, studio spaces) for local <br>artists and musicians to help bring their work to the <br>attention of the public; replace the Community Theatre with a <br>newer, bigger, state-of-the art theatre; increase funding to ORL and <br>Kelowna Museums; partner with other municipalities in the Okanagan in <br>the coordination of events ",financial performance venue studio space local artist musician help bring attention replace theatre newer big stateofthe theatre increase fund orl museum partner municipality okanagan coordination,1,"Need new theatre, more venue and space",-3.7532613,-10.657205
Jul 17 18 09:30:42 am,55 to 64,Female,"When promoting events add facts of the cu,true being showcased.... a <br>??did you know?? section ",add fact cutrue showcase know section,1,"Need new theatre, more venue and space",0.94325113,1.3556064
Jul 17 18 09:36:46 am,65 and up,Female,more smaller venues at affordable pricing for amateur group performances more <br>available funding (small amounts) for local groups ,small venue affordable pricing amateur group performancesmore available fund small local group,1,"Need new theatre, more venue and space",0.95343876,-12.848887
Jul 17 18 10:01:03 am,55 to 64,Female,"Bring in more figure skating competitions, and more shows that have <br>an artistic theme, such as Cirque du Soliel and things <br>like that. It would be nice to not have to <br>go to Penticton for all the good shows. ",bring figure skating competition artistic theme cirque soliel nice penticton good,1,"Need new theatre, more venue and space",4.7782435,2.4597428
Jul 17 18 10:13:12 am,65 and up,Female,The Rotary Centre for the Arts is lacking in Parking close <br>to the building that is not expensive. prospera parking costs <br>8.00 for the day and the parkade is too far <br>to carry supplies. Rental rates for non profits have really <br>increased to an unaffordable level for seniors. ,lack park close building expensive prospera parking cost parkade far carry supply rental rate non profit increase unaffordable level senior,1,"Need new theatre, more venue and space",2.935168,-5.261203
Jul 17 18 10:14:26 am,65 and up,Female,Inviting more local artists to participate in local events ,invite local artist local,1,"Need new theatre, more venue and space",1.0749893,-14.055627
Jul 17 18 10:15:26 am,55 to 64,Male,"maybe not try to be so 'big city' and stick with <br>a more small town vibe. Biggest example was this springs <br>Food fair at curling club. Tried to be big city <br>with price charged, very, very disappointing when you enter and <br>9 out of 10 venders were the same as Kelowna <br>Farmers market, which has no admission. ",maybe big stick small town vibe big spring food fair curling club big price charge disappointing enter vender farmer market admission,1,"Need new theatre, more venue and space",4.591972,-0.7225349
Jul 17 18 10:19:30 am,25 to 34,Male,Invest more capital and capacity in arts & culture organizations. Needs <br>to be better collaboration between the various group.s ,invest capital capacity organization need collaboration group,1,"Need new theatre, more venue and space",1.7343625,-4.2564416
Jul 17 18 11:17:22 am,45 to 54,Female,More info on advance of heritage festivals to permit easier planning <br>for families to visit. ,info advance heritage festival permit easy planning family visit,1,"Need new theatre, more venue and space",-0.8400987,3.0048113
Jul 17 18 11:35:28 am,55 to 64,Female,There is the possibility of a new cultural use space in <br>the old RCMP building as this is in the Simpson <br>Covenant area. ,possibility new cultural use space old rcmp build simpson covenant,1,"Need new theatre, more venue and space",-4.8669147,-3.3727956
Jul 17 18 11:41:01 am,25 to 34,Female,"culture days is pretty lack luster, and it is the best <br>forum to show expose people to culture, there wasn't a <br>lot of promotions for it. not a lot of people <br>knew about it. could have more workshops and events. smaller <br>towns even have more events and its a bigger deal. <br>shouldn't have breweries just having mini golf that's not culture. <br>There are lots of local artists that would be happy <br>to display art or work from their culture. some places <br>do folk fest, in different locations around the city on <br>different days for a week, passports to each culture where <br>there is dances, singing, food, crafts. Saskatoon does one its <br>great. summer something should always be happening. maybe the parks <br>alive could play a world music night. more public art <br>downtown, maybe they should do some projections on buildings at <br>night. there are a lot of people downtown at night <br>would be great exposure to things. a night market, night <br>time is a great time. maybe less public art about <br>apples and bears. I get that those are Kelowna but <br>maybe lets expand and have people think about other things <br>as well not just kelowna history move forward. festivals here <br>that aren't just for drunk kids ( center of gravity) <br>or uber rich people ",pretty lack luster good forum expose lot promotion lot know workshop small town big deal brewery mini golf s lot local artist happy display folk fest different location different week passport dance sing food craft saskatoon great summer happen maybe park alive play world music night downtown maybe projection building night lot downtown night great exposure night market night time great time maybe apple bear maybe let expand think history forward festival drunk kid center gravity uber rich,1,"Need new theatre, more venue and space",-1.9631842,8.048905
Jul 17 18 12:54:05 pm,25 to 34,Male,"Overall, I think Kelowna needs more off-season events and traditions. We <br>focus on the sun + sand stuff, which makes sense, <br>but a couple of fall/winter events could round out the <br>year and also give us a chance to define what <br>Kelowna is aside from Beaches and Wine. While still a <br>community for retirees, Kelowna is becoming younger. I still don't <br>see much in the way of youth-focused events. Growing up <br>here, it was painfully clear that the city didn't care <br>about my generation, and I left as soon as I <br>could. If we want to retain some young people, we <br>should create a better teen event schedule that lets them <br>have adult-like fun without creating 19+ events they're excluded from. <br>On a more specific note, we have multiple theatre companies, <br>but I feel like aside from Kelowna Actors Studio, I <br>don't hear much about them. Can these other theatre groups <br>(Fred Skeleton, New Vintage) be given venues at events? ",overall think need offseason tradition focus sun sand stuff sense couple fallwinter round chance define aside beach winewhile retiree young youthfocused grow painfully clear care generation leave soon want retain young create teen schedule let adultlike fun create exclude fromon specific note multiple theatre company feel aside actor studio hear theatre group fre skeleton new vintage venue,1,"Need new theatre, more venue and space",-2.3080168,-4.033004
Jul 17 18 01:51:47 pm,45 to 54,Female,"more parks that allow dogs, more swimming / beach access for <br>dogs more hiking trails with garbage cans at trailhead more <br>activities free for families ",park dog swimming beach access dogsmore hiking trail garbage trailheadmore activity free family,3,Need more promotions and free stuff,-5.10977,3.525202
Jul 17 18 04:34:09 pm,25 to 34,Male,Kelowna could protect and re-use heritage structures. Kelowna could encourage development <br>that uses materials and designs that age well and support <br>developments that will have heritage value in the future. Cultural <br>performances could be offered in other locations beyond downtown to <br>try to create social spaces and meaningful communities in each <br>neighborhood. Kelowna could encourage pedestrian/cycling culture in more neighborhoods because <br>face-to-face contact builds good culture. Kelowna could encourage place-making by <br>encorporating cafes into new community spaces like new libraries and <br>rec-centres. Also providing warehouse or creative space for young artists <br>would boost the art culture in Kelowna. And finally improving <br>the rental housing scenario will help the artist class survive <br>in Kelowna. ,protect reuse heritage structure encourage development use material design development heritage value future cultural performance offer location downtown create social space meaningful neighborhood encourage pedestriancycling neighborhood facetoface contact build good encourage placemake encorporating cafe new space new library reccentre provide warehouse creative space young artist boost finally improve rental housing scenario help artist class survive,1,"Need new theatre, more venue and space",-3.9469085,-9.846728
Jul 17 18 08:20:08 pm,45 to 54,Female,Awareness.... Events ,awarenessevent,2,Need more winter events and more advertisings,9.312871,5.143225
Jul 18 18 06:34:52 am,55 to 64,Female,"No doubt, clean up the druggies (oh wait, they are allowed <br>to do illegal drugs now); get rid of Leon Street; <br>and do something about the blatant daylight crime; more police <br>on patrol, even towns like Puerto Vallarta have ""tourist"" police <br>walking the streets, I feel safe there, not here anymore. <br>In the summer it would be cool to close off <br>Bernard to traffic like they did to Granville Street at <br>one time, it's a gong show anyhow. Also, Penticton gets <br>better concerts than Kelowna does, what's up with that? ",doubt clean druggie wait illegal drug rid leon street blatant daylight crime police patrol town puerto vallarta tourist police walk street feel safe anymore summer cool close bernard traffic granville street time gong penticton concert s,1,"Need new theatre, more venue and space",3.3128464,2.4109554
Jul 18 18 07:17:50 am,35 to 44,Female,"Ensure the arts, culture and heritage are accessible. Opportunities for creators <br>to express and share their creations in public. Free opportunities <br>for the public to engage with culture in public spaces. <br>Allowing for spontaneous moments of culture. ",ensure heritage accessible opportunity creator express share creation free opportunity engage space spontaneous moment,1,"Need new theatre, more venue and space",-2.7966764,-3.0952494
Jul 18 18 10:05:02 am,25 to 34,Female,"I wish we had a mid-level venue, similar to the Commodore <br>Ballroom in Vancouver. I went to go see Mother Mother <br>at the Community Theatre, and it was a bit silly <br>because it's the correctly-sized venue for that band, but they're <br>a band that you want to dance to and you <br>can't at the Community Theatre. We don't have a venue <br>for that type of band, and I really wish we <br>did. I feel that more bands like that would stop <br>in Kelowna if we had that sort of venue. ",wish midlevel venue similar commodore ballroom vancouver mother mother theatre bit silly correctlysized venue band band want dance theatre venue type band wish feel band stop sort venue,1,"Need new theatre, more venue and space",2.064891,-8.559142
Jul 18 18 11:27:55 am,55 to 64,Male,"A thousand things, but the most important is to actually support <br>the arts from the City and its business partners, and <br>not just in word but by example. Sadly, Kelowna is <br>an 'old boys club' that lives by its 'hockey culture', <br>and does not eagerly welcome new cultural initiatives or work <br>on enhancing the ones that is has. If you want <br>to present a professional image to Canada and the world, <br>the City need to 'grow up' and become a lot <br>more cosmopolitan. ",thousand important actually business partner word sadly old boy club hockey eagerly welcome new cultural initiative enhance want present image world nee grow lot cosmopolitan,1,"Need new theatre, more venue and space",-0.22119714,-2.4021275
Jul 18 18 03:33:03 pm,55 to 64,Female,"Many of our cultural buildings are aging and fail to reflect <br>the forward looking zeitgeist of this city. An architecturally significant <br>""destination"" venue would be a great addition to the cultural <br>district. Kelowna is an experience provider set in breath-taking geography. <br>New cultural facilities that are Innovative, interactive, broadly accessible, and <br>prominently situated should ensure amazing experiences for residents, visitors and <br>tourists each and every time they visit. Culture creators also <br>require inexpensive spaces to flourish and while there are some, <br>it would be good to create more - even if <br>they are transient or pop-up in nature. Gallery exhibits in <br>empty buildings, studios and workshops in unused warehouses, etc. The <br>city needs to encourage a spirit of philanthropy around culture, <br>arts and heritage, enlisting citizen champions to spearhead campaigns for <br>such facilities. Charging all builders a percentage of each project <br>to include ""public art"" in their plans would be great. <br>Find places for the homeless and keep them out of <br>public parks, enforce panhandling/loitering bylaws, clean the beaches and public <br>spaces so no one encounters needles and used condoms - <br>zero tolerance for illegal activities such as drug dealing, impairment <br>in public spaces. If people don't feel safe they won't <br>venture downtown or to the public beaches Tourists won't stay <br>or explore cultural opportunities in the core. ",cultural building fail reflect forward look zeitgeist architecturally significant destination venue great addition cultural district experience provider set breathtake geography new cultural facility innovative interactive broadly accessible prominently situate ensure amazing experience resident visitor tourist time visit creator require inexpensive space flourish good create transient popup nature gallery exhibit building studio workshop unused warehouse etc need encourage spirit philanthropy heritage enlist citizen champion spearhead campaign facility charge builder percentage project include plan great find homeless park enforce panhandlingloitering bylaw clean beach space encounter needle use condom zero tolerance illegal activity drug deal impairment space feel safe venture downtown beach tourist stay explore cultural opportunity core,1,"Need new theatre, more venue and space",-2.6973276,-6.0331354
Jul 19 18 10:38:56 pm,25 to 34,Female,Offering more events and performances for specific audiences. I'm 33 and <br>married with no children and would love some good events <br>for people like me. Also more diversity of different cultures <br>from around the globe not biased to a few. We <br>are a diverse community. ,offer performance specific audience marry child love good diversity different globe biased diverse,1,"Need new theatre, more venue and space",0.9467312,-1.5396881
Jul 20 18 12:36:22 pm,35 to 44,Male,"Our family would love to see Bernard better utilized for pedestrian <br>only events (more street markets). Similarly, we would love to <br>see a defined meeting place/cultural hub/public square in Pandosy. Where <br>Pandosy has really been a good example of the Urban <br>Centres philosophy, we'd love to see the city truly invest <br>in that momentum to make it a good example not <br>just within Kelowna but on a much broader scale. It <br>seems as though the city has started to coast on <br>Pandosy and shifted attention elsewhere. Kelowna has wonderful family events, <br>and of course we hope those continue to grow; however, <br>we see a lack of ethnically diverse activities and supports <br>(although this has started to change in recent years). ",family love bernard better utilize pedestrian street market similarly love define meeting placecultural hubpublic square pandosy pandosy good urban philosophy love truly invest momentum good broad scale start coast pandosy shift attention elsewherekelowna wonderful family course hope continue grow lack ethnically diverse activity start change recent,1,"Need new theatre, more venue and space",-2.790633,3.8499954
Jul 20 18 05:40:22 pm,25 to 34,Female,"Inclusive events Keeping it simple, not over the top and expensive <br>events/workshops or performances ",inclusive simple expensive eventsworkshop performance,1,"Need new theatre, more venue and space",7.8309665,0.438721
Jul 21 18 11:08:17 am,35 to 44,Male,large grants to community groups and granting of space ,large grant group grant space,1,"Need new theatre, more venue and space",-1.8333261,-10.342032
Jul 22 18 10:02:08 am,35 to 44,Female,"Last year, Kelowna put on Culture Days. It was a really <br>great experience for our family. We took part in the <br>Kairos Blanket Exercise put on by the Kelowna Friendship Centre <br>and it was life changing. But this event was not <br>advertised very well. I only came across it in passing. <br>We need more events like this that can help a <br>community immerse themselves in different aspects of the culture that <br>makes up Kelowna. I would've loved workshops on how to <br>dance traditional dances, making things that represent different cultures and <br>listen to stories or take part in stories that teach <br>about different cultures like the blanket exercise did. And to <br>have that all done in a central location within walking <br>distance of each other would make it accessible to far <br>more people. ",great experience family kairos blanket exercise friendship life change advertise pass need help immerse different aspect love workshop dance traditional dance represent different listen story story teach different blanket exercise central location walk distance accessible far,1,"Need new theatre, more venue and space",-0.9733743,6.4297605
Jul 23 18 09:42:45 am,35 to 44,Female,"Better publicity is required. We have been hoping that a commercial <br>entity would take the lead in developing an online arts <br>/ culture listing website, and nothing has improved since the <br>last cultural plan. I appreciate the City may not be <br>the best entity to develop this platform, but we need <br>some type on intervention to usher things along. ",publicity require hope commercial entity lead develop online list website improve cultural plan appreciate good entity develop platform need type intervention usher,1,"Need new theatre, more venue and space",0.27306437,-0.5036828
Jul 23 18 01:09:25 pm,55 to 64,Male,Increase funding by the city to keep up with the cost <br>of living. The Kelowna Community Theatre needs to be replaced. <br>,increase fund cost theatre need replace,1,"Need new theatre, more venue and space",-5.05331,-4.7872834
Jul 23 18 01:25:10 pm,19 to 24,Female,Generating more awareness among all age groups about the events and <br>things that are going on in our community. ,generate awareness group,1,"Need new theatre, more venue and space",4.325315,-8.236136
