Age,Postal Code,Gender,Goal1,Goal2,Goal3,Goal4,Goal5,Goal6,Goal7,Goal8,Goal9,Goal10
45 to 54,V1Y,Male,Very Important,Very Important,Very Important,Important,Very Important,Not Important,Less Important,Less Important,Less Important,Very Important
65 and up,V1W,Prefer not to disclose,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
25 to 34,V1X,Male,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Less Important,Less Important,Important,Very Important
55 to 64,V1X,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
45 to 54,V1V,Female,Very Important,Very Important,Important,Important,Very Important,Very Important,Less Important,Less Important,Very Important,Very Important
45 to 54,V1V,Male,Less Important,Important,Less Important,Less Important,Less Important,Less Important,Less Important,Important,Important,Important
55 to 64,V1W,Female,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Important
45 to 54,V1Y,Male,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Very Important
19 to 24,V1X,Female,Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,Important,Very Important
55 to 64,V1W,Female,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important
25 to 34,V1W,Female,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Important
45 to 54,V1Y,Male,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,Very Important
65 and up,V1W,Female,Less Important,Less Important,Less Important,Less Important,Not Important,Important,Less Important,Very Important,Very Important,Important
35 to 44,V1W,Female,Important,Important,Less Important,Very Important,Very Important,Less Important,Important,Very Important,Important,Important
55 to 64,V1Y,Male,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important
19 to 24,V1Y,Male,Less Important,Important,Very Important,Less Important,Very Important,Less Important,Important,Very Important,Very Important,Less Important
25 to 34,V1Y,Female,Very Important,Important,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important
35 to 44,V1Y,Male,Less Important,Important,Very Important,Not Important,Very Important,Very Important,Less Important,Very Important,Very Important,Very Important
35 to 44,V1Y,Female,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Less Important,Very Important,Very Important
45 to 54,V1W,Female,,Important,Important,Important,Very Important,Important,Important,Very Important,Very Important,Very Important
35 to 44,V1Y,Male,Important,Less Important,Very Important,Less Important,Very Important,Very Important,Less Important,Less Important,Important,Important
45 to 54,V1Y,Male,Important,Important,Important,Important,Important,Less Important,Important,Less Important,Important,Important
25 to 34,V1Y,Male,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important
0 to 18,Other,Male,Important,Important,Less Important,Important,Very Important,Very Important,Important,Less Important,Important,Very Important
25 to 34,V1Y,Male,Important,Less Important,Very Important,Important,Important,Very Important,Less Important,Very Important,Important,Important
25 to 34,V1Y,Male,Very Important,Very Important,Less Important,Less Important,Important,Very Important,Important,Very Important,Very Important,Very Important
35 to 44,V1W,Female,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Less Important
55 to 64,V1Y,Female,Important,Very Important,Very Important,Important,Less Important,Less Important,Not Important,Very Important,Very Important,Very Important
65 and up,V1Y,Female,Very Important,Very Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Very Important
45 to 54,V1Y,Male,Very Important,Less Important,Very Important,Less Important,Important,Less Important,Less Important,Very Important,Very Important,Very Important
25 to 34,V1X,Female,Very Important,Very Important,Very Important,Important,Very Important,Important,Not Important,Very Important,Very Important,Important
45 to 54,V1W,Female,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Less Important,Important,Important,Very Important
45 to 54,V1W,Female,Less Important,Important,Less Important,Less Important,Important,Very Important,Important,Less Important,Important,Important
