Age,Gender,Response,CleanedResponse,Cluster,Cluster_Description,X,Y
45 to 54,Male,"Attend concerts, plays and performances, visit galleries, use the services of <br>the public library, observe the built environment ",attend concert play performance visit gallery use service library observe build environment,2,"Gallery, concerts, theatre, museum, music, festival",0.36848984351092134,0.06351534664968667
65 and up,Female,attend concerts and theatre performances perform music with other musicians and <br>promote appreciation of all musical styles promote cultural events whenever <br>possible visit art galleries and museums ,attend concert theatre performancesperform music musician appreciation musical stylespromote cultural possiblevisit gallery museum,2,"Gallery, concerts, theatre, museum, music, festival",0.41361408194879123,-0.14163849645196974
55 to 64,Female,We have had seasons tickets for the Actors Studio for the <br>past 13 years. I also attend the Art Walk in <br>Lake Country every year. ,season ticket actor studio past attend walk lake country,2,"Gallery, concerts, theatre, museum, music, festival",0.14321264393306757,-0.06904817568668743
65 and up,Female,I am a fine artist and paint with a group at <br>Rotary weekly and the federation of canadian artists. I help <br>organize workshops and an annual art symposium. Also am a <br>fiddle player with kelowna old time fiddlers and we perform <br>at dances and at senior residences. ,fine artist paint group weekly federation canadian artist help organize workshop annual symposiumalso fiddle player old time fiddler perform dance senior residence,1,"Volunteer, park, music, family activities, parade, dance",0.09696124449746843,-0.06683671366099887
65 and up,Female,I am a potter and a painter ,potter painter,1,"Volunteer, park, music, family activities, parade, dance",-4.2409958240657366e-07,0.00023529313654934065
55 to 64,Male,by attending festivals/events when I find out about them ,attend festivalsevent find,1,"Volunteer, park, music, family activities, parade, dance",0.14862945781541423,0.018691011520045608
25 to 34,Male,"Organizing, attending and participating in events, festivals, art openings... ",organize attend festival opening,2,"Gallery, concerts, theatre, museum, music, festival",0.22733971382167498,0.053723176502570844
45 to 54,Female,Plays Festivals Outdoor concerts ,playsfestivalsoutdoor concert,2,"Gallery, concerts, theatre, museum, music, festival",0.13173075336212411,-0.024528672792302825
55 to 64,Female,"I work in the heritage/history field, managing the Central Okanagan Heritage <br>Society and working with partner organizations to promote and educate <br>others about our human history and built history. I enjoy <br>cultural events - particularly musical and theatrical performances. I volunteer <br>as a Director with Science Opportunities for Kids to promote <br>natural history and encourage youth to respond to the natural <br>world in different ways (eco-art, etc). ",heritagehistory field manage central okanagan heritage society partner organization educate human history build history cultural particularly musical theatrical performance volunteer director science opportunity kid natural history encourage youth respond natural world different ecoart etc,1,"Volunteer, park, music, family activities, parade, dance",0.13354916348930468,-0.10393954373766719
25 to 34,Female,"culture days, go to the art gallery, attend events. ",gallery attend,2,"Gallery, concerts, theatre, museum, music, festival",0.5534053197779736,-0.10085819919768534
25 to 34,Male,"I am a writer, so I create culture in that sense. <br>But I also love to take in public art, local <br>events, open-air concerts, parks, and nature trails. ",writer create sense love local openair concert park nature trail,1,"Volunteer, park, music, family activities, parade, dance",0.15128554209320533,0.03975439546687288
45 to 54,Female,"walking the downtown lakeshore bird sanctuaries, parks Parks Alive concerts downtown <br>events such as Canada Day, new years eve skating downtown <br>Art Gallery exhibition and family events ",walk downtown lakeshorebird sanctuary parkspark alive concertsdowntown new eve skate downtownart gallery exhibition family,1,"Volunteer, park, music, family activities, parade, dance",0.1083226229099596,-0.04388633020107014
