CleanedResponse,Response,Topic_LDA,X,Y
big good facility community theatre outdat small city size regional library part strategy large city region leadership ensure funding fulfill mandate,"Kelowna needs new, bigger and better facilities. The community theatre is <br>outdated and too small for a city this size. Okanagan <br>Regional Library needs to be part of the strategy. As <br>the largest city in the region, Kelowna needs to take <br>leadership in ensuring ORL has the funding it needs to <br>fulfill its mandate. ",1,15.344114,-8.778417
varied opportunity display express artistic cultural venture nice public music performance art display integration nation art public space moral multimedia display,More and more varied opportunities to display and express artistic and <br>cultural ventures would be nice. Public music performances and art <br>displays and integration of First Nations art into public spaces. <br>Murals and multimedia displays ,2,-25.83571,-15.404234
consultation art community important present city event great acknowledge consult invite nation community event important place pretty vital,"well, I do think consultation with the arts community is important, <br>and having them present at some city events would be <br>great. Also, acknowledging, consulting, and inviting First Nations community to <br>our events and having an important place in them is <br>pretty vital. ",1,15.755777,-9.072219
ensure focus indigenous heritage,Ensure there is focus on Indigenous heritage. ,1,17.28676,-8.621224
connect culture health healthy build environment,Connecting Culture to Health and the healthy built environment ,1,16.856178,-8.753861
support art group approach business focus,Supporting arts groups to approach with more of a business focus <br>,3,-3.7855844,15.808048
make sure art culture space accessible people age ability identify,"Making sure arts and culture spaces are accessible to people of <br>all ages, abilities and identities. ",3,-3.3932035,15.43085
goal large update community theatre unfordable cultural space refer studio live work space act adequate city key player get facility build even majority funding come level government private source,"None of the above goals seems to include a larger, updated <br>community theatre (affordable cultural space seems to refer to studio <br>or live/work space). KCT is just not adequate and the <br>City is the key player in getting a new facility <br>built even if the majority of funding comes from other <br>levels of government or private sources. ",1,15.154697,-9.042084
enrich quality life cultural opportunity,Enriching quality of life through cultural opportunities ,1,17.131243,-8.705017
promote culture weave particularly diversity everything seek innovative way funding culture ask developer donate percentage building cost public art salary,"Promote culture and weave it, particularly diversity, into everything we do. <br>Seek new innovative ways of funding culture - such as <br>an ask of developers to donate a percentage of their <br>building cost to public art. (This is done in Calgary, <br>I think) ",1,15.456243,-9.115005
engage call action truth reconciliation commission talk heritage longer celebrate white settler history engage complex difficult colonial heritage territory addition amplify voice concern indigenous people,"Engaging with the Calls to Action of the Truth and Reconciliation <br>Commission. When we talk about heritage, we can no longer <br>celebrate white settler history, but engage with the complex and <br>difficult colonial heritage of this territory, in addition to amplifying <br>the voices and concerns of Indigenous people. ",1,15.303209,-9.148276
date island stage better suit pour musician,Updating the Island Stage so that it is better suited for <br>touring musicians. ,2,-25.38479,-15.877532
facility must make financially available profit organization parking,Facilities must be made more financially available to non-profit organizations. Parking. <br>,3,-3.4357398,15.527522
celebrate cultural diversity,Celebrate cultural diversity ,2,-24.534058,-16.724611
space people cultural activity place outdoor indoor space put people ahead car parking little funding artist event creator make thing happen city like see city plan create indoor outdoor space aim allow community event place,Space for people and cultural activities to take place. Outdoor and <br>indoor spaces that put people first ahead of cars and <br>parking. There is little to no funding for artists and <br>event creators to make things happen in the city. I <br>would like to see the city plan to create an <br>indoor/outdoor space that was aimed to allow community events to <br>take place ,3,-3.6227088,15.128587
good wayfind connective tissue tourism culture heritage good online liability term tourism webster increase visitor experience marketing,"Better wayfinding, connective 'tissue' between tourism and culture/heritage; better online usability <br>in terms of Tourism Kelowna's website; increased visitor experience marketing. <br>",1,15.726408,-8.944372
chance policy promote tourism major economic driver policy promote high quality cultural life attract young educate innovative person,"We have a chance to move from policies that promote tourism <br>as a major economic driver to policies that promote higher <br>quality of cultural life, and thereby attract more young, educated <br>and innovative persons. ",2,-25.68381,-15.197045
business multicultural city support program,Businesses could be more multicultural City of Kelowna can support new/more <br>programs ,2,-24.930883,-16.398441
business contribute community resident good sense community city sensibly,Businesses should contribute more to communities residents need a better sense <br>of community The City of Kelowna needs to spend sensibly <br>,1,16.653065,-8.790418
resident park walk cultural activity,Residents should park and walk to cultural activities ,2,-24.94407,-16.33695
resident community clean city theme event,Residents should do community clean up City of Kelowna should do <br>more themed events ,2,-25.054466,-16.215994
organization encourage volunteer opportunity resident volunteer city funding,Organizations should encourage more volunteer opportunities Residents should volunteer more City <br>of Kelowna should provide more funding ,1,16.888453,-8.709504
host family friendly event,Host more family friendly events ,1,17.35926,-8.642452
business support sponsorship culture festival resident voice plan city cultural activity event,Businesses should provide more support and sponsorship of culture days and <br>festivals. Residents should have a voice in planning. City of <br>Kelowna should include more cultural activities at existing events ,2,-25.650038,-15.509482
business continue invest cultural activity resident participate input event k continue invest event create safe cultural space,Businesses need to continue to invest in cultural activities Residents should <br>participate and give input on events Cof K continue to <br>invest in events and create safe cultural spaces ,1,16.233418,-8.86559
family event resident work bring neighborhood relationship together city good transportation,More family events residents can work on bringing neighborhood relationships together <br>City needs better transportation ,3,-3.6912532,15.792273
activity celebration state holiday resident help spread word event opportunity,more activities and celebrations on stat holidays residents should help spread <br>the word on events and opportunities ,3,-3.6523743,15.098074
business sponsor event resident participate fundraising event city pursue partnership opportunity local business organization,Businesses should sponsor events Residents should participate in fundraising and events <br>City should pursue partnership opportunities with local businesses and organizations <br>,3,-3.6140814,15.181033
resident participate city advertise,residents need to participate City needs to advertise more ,2,-24.7731,-16.538797
organization fund promote engage cultural like support initiative idea resident support engage consumer producer k raise profile art community increase inaccessibility cultural function enhance diversity cultural offering,"Organizations can - fund, promote and engage in cultural like in <br>Kelowna and support new initiatives and ideas. Residents can support <br>and engage as consumers and producers Cof K can Raise <br>the profile of the arts community. Increase accessibility to cultural <br>functions and enhance diversity of cultural offerings ",1,15.365025,-9.138663
organization unfordable place organization cultural offering resident advertising local medium city drastic rental concession local perform group,Organizations can provide affordable places for organizations to do their cultural <br>offerings. Residents - needed more advertising in local media City <br>of Kelowna - Should provide DRASTIC rental concessions for local <br>performing groups ,3,-4.158999,15.241215
act venue large open lobby k good parking,KCT needs a new venue with a large open lobby Cof <br>K needs to provide better parking ,3,-3.8529902,15.811533
business sponsor cultural event resident part support culture event k build facility former camp concert hall,Businesses need to sponsor cultural events Residents need to take part <br>and support - to fill all culture events Cof K <br>Needs to build new facilities on former RCMP - a <br>concert hall ,2,-25.668644,-15.304876
business good support culture continue people business community valuable expertise fund resident support culture buy ticket event volunteer c k generous supporter culture must continue city staff valuable help make impact,Businesses are very good at supporting culture and this should continue. <br>People in the business community can provide valuable expertise as <br>well as funding. Residents can support culture by buying tickets <br>to events and volunteering C of K is a generous <br>supporter of culture and this must continue. City staff can <br>provide valuable help and make an impact ,3,-4.0107594,15.628103
business service reduce rate organization art profit space grow cultural initiative resident attend event often offer volunteer support help financially support cultural initiative c k cultural relief level cultural organization,"Businesses can provide services at reduced rates for organizations in the <br>arts/non profit and provide space to grow cultural initiatives. Residents <br>can attend events more often, offer volunteer support and help <br>financially support cultural initiatives. C of K can provide more <br>cultural relief to all levels of cultural organizations. ",3,-4.1163344,15.460626
business free step help profit c k cost incur profit,Businesses - feel free to step up and provide help to <br>non profits C of K could cut costs incurred by <br>non profit ,2,-25.223434,-16.038658
business sponsor cultural event offer free admission certain event resident attend event participate c k continue sponsorship event avenue,Businesses need to sponsor more cultural events and offer free admission <br>to certain events. Residents need to attend events and participate <br>more. C of K needs to continue your sponsorship of <br>events and venues ,2,-23.836096,-15.081346
mention intercultural understanding key skill citizen thriving cultural scene possible racism photophobia transphobia anti immigrant sentiment people like attend low na friendship centre original caribbean festival negative view nation people treat caribbean emigrant worker disrespect festival naught,"Mention of intercultural understanding as a key skill for citizens of <br>Kelowna. A thriving cultural scene isn't possible if there is <br>racism, homophobia, transphobia, and anti-immigrant sentiments. If people like to <br>attend the Ki-Low-Na Friendship Centre's Aboriginal Day or the Caribbean <br>Festival, but then have negative views of First Nations people, <br>or treat Caribbean migrant workers with disrespect, the festivals are <br>for naught. ",2,-23.73129,-15.15483
recognize preserve make space real art scene organic underground scene without grant approval,"Recognize, preserve and make space for the real art scene - <br>the organic underground scene that exists without grants or approval. <br>",1,16.041803,-8.878701
accessible opportunity event event organizer,More accessible opportunities for new events and event organizers. ,1,17.287645,-8.645028
good promotion information cultural activity event cultural festival highlight available town,Better promotion and information on cultural activities and events. More cultural <br>festivals would also highlight what's available in town. ,1,16.192705,-8.827366
promotion support city helpful encourage public engage art cultural programming organization compete netflix heavy entertainment option readily cheaply available campaign similar active nature may aid shift public perception institution program ensure lively connect community active nature focus physical health cultural engagement aid mental health,"Promotional support from the city would be very helpful in encouraging <br>the public to engage in arts and cultural programming. Organizations <br>are now competing with Netflix and the bevvy of other <br>entertainment options that are readily and cheaply available. A campaign <br>that is similar to Active by Nature may aid in <br>shifting the public perception of our existing institutions and programs, <br>ensuring a lively, well-connected community. Where Active by Nature focuses <br>on physical health, cultural engagement can aid with mental health. <br>",2,-23.838142,-15.07692
seek cultural funding opportunity stream municipal tax developer use support art culture thing like public art event etc seek opportunity partner nearby region make good use coordinate space particularly community west independent electoral region,"Seek cultural funding opportunities through streams such as a municipal .5 <br>or 1% tax on developers which would only be used <br>to support arts and culture - things like public art, <br>events, etc. Seek all opportunities to partner with nearby regions <br>to make the best use of and coordinate space, particularly <br>the communities of West Kelowna, and the Independent electoral regions. <br>",1,15.180542,-8.930047
part goal city miss christian religious culture heritage support support church religious institution way city conduct support promote christianity,"As part of the goals, the City of Kelowna is missing <br>the Christian religious culture & heritage that should be supported. <br>This should be supported not only through the existing churches <br>& religious institutions, but also through the way the City <br>conducts itself & supports / promotes Christianity. ",1,15.74319,-8.846585
eliminate alcohol prerequisite cultural requirement,Eliminate alcohol as a prerequisite cultural requirement ,1,17.093605,-8.704342
promote cultural heritage valuable asset community,Promote the cultural heritage as a valuable asset to the community. <br>,2,-25.150053,-16.146954
like see even history art presence art work,"I would like to see even more Sylix Okanagan History, art, <br>and more of a presence of art work around Kelowna. <br>:) ",3,-3.6800745,15.792552
org business nice everyone resident open people city money,Orgs/businesses: be nice to everyone Residents: be open to all people <br>City of Kelowna: give money ,1,16.42974,-8.852339
city survey like,City of Kelowna should do surveys like this. ,3,-3.379913,15.504032
org business long term commitment part creative industry valley vital resident challenge always participation geography anti urban affect cultural vitality density grow participation increase city city quite effective agent intention good geography geography make hard,"Orgs/businesses: long-term commitment on the part of creative industries to the <br>valley is VITAL. Residents: The challenge is always participation. Kelowna's <br>geography is anti-urban, which affects cultural vitality. As density grows, <br>participation SHOULD increase. the City: The City & UBC are <br>quite effective agents in this - and intentions are good <br>- but demography and geography make it hard. ",1,15.20035,-9.078744
org business support emerge artist cost event pay sponsor advertising sponsorship resident engage eg go gallery resource connect overall community attend participate event city identify allocate resource community space development funding advertise raise awareness cultural initiative,"orgs/businesses: support emerging artists by hosting events or providing paid/sponsored advertising/sponsorship. <br>Residents: Engage (eg. go to a gallery!) with existing resources. <br>Connect with each other and the overall community by attending/participating <br>in events. City: identify and allocate resources (community spaces, new <br>development, funding). Advertise to raise awareness of existing and new <br>cultural initiatives ",3,-2.7889903,15.183659
video people involve development area orchard example child explain develop family get go use city map show live video old structure still stand use,we could have video of people involved in the development of <br>Kelowna and area orchards for example; or their children; to <br>explain how they developed; what their families had to do <br>to get them going; use a city map to show <br>where they lived. We could have video of old structures <br>still standing and what they were used for. ,3,-3.635701,15.158607
open rehearsal,Obtained from OSO Open Rehearsals ,2,-24.349937,-16.841574
open rehearsal organization business open change share street sidewalk artist encourage formal informal gathering resident participate funding support art city make event unfordable family attend cultural funding ask artist feedback event,'Obtained from OSO Open Rehearsals Organizations/ Businesses: - Be open to <br>change - Share streets and sidewalks with artists - Encourage <br>both formal and informal gatherings Residents: - Participate! - Give <br>more funding to support Arts City of Kelowna: - Make <br>events affordable for families to attend - Provide cultural funding <br>- Ask artists for feedback on events ,3,-3.8048115,15.162721
open rehearsal organization business stop culture land rebuild trust resident culture rebuild trust city culture stop wreck culture land rebuild trust,'Obtained from OSO Open Rehearsals Organizations/ Businesses: -Stop taking other cultures <br>lands -Rebuild Trust Residents: - Include other cultures - Rebuild <br>Trust City of Kelowna: - Include other cultures - Stop <br>taking/ wrecking other cultures land - Rebuild trust ,1,16.389954,-8.836211
open rehearsal organization business introduce culture plan webster promote poster resident share promote favorite program friend family,"'Obtained from OSO Open Rehearsals Organizations/ Businesses - Introduce culture plan <br>in their website, promote them through posters Residents: - Share <br>and promote favorite programs with friends and families ",1,15.69535,-9.098986
open rehearsal organization business offer plan activity resident support attend seminary activity event get involve event volunteer city open cultural event list weekly monthly event newspaper school announcement,"'Obtained from OSO Open Rehearsals Organizations/ Businesses: - Offer/ plan more <br>activities Residents: -Support/ attend seminars, activities, events -Get involved in <br>the events (volunteer) City of Kelowna: - Be more open <br>about cultural events - Include lists of weekly/ monthly events <br>in newspapers/ school announcements ",2,-25.856564,-15.121142
