Organization,Postal Code,Latitude,Longitude,Response,CleanedResponse,Sentiment,Score,Cluster,ClusterText,X,Y
Theatre Kelowna Society,V1Y 0B4,49.889199,-119.497076,"Work with the other groups to plan and create a new <br>facility or repurpose an old facility. couple of places near <br>cultural district like the machine shop on the corner on <br>ellis that would be a good place. and the food <br>bank, that building would be good. generally the location keep <br>the cultural stuff downtown. put another facility in parking problem. <br>",work group plan create new facility purpose old facility   couple place near cultural district like machine shop corner ellis would good place food bank building would good generally location   keep cultural stuff downtown put another facility parking problem  ,Positive,0.7717,1,Facilities should be more affordable,0.37621844,0.3330973
Theatre Kelowna Society,V1Y 0B4,49.889199,-119.497076,"something to help with the film industry. looking to take original <br>scripts and produce play and then produce film. not a <br>lot of studio space for film. could double as filming <br>and performance space amateur or semi-professional film studio. bumperstudio - <br>mentorship program with putting shows on. producers and directors for <br>film is different than performanceplays but could be shared spaces. <br>black box can be converted. flexible and adaptable space thats <br>what makes the black box a great place. last year <br>they opened up new film studio near airport. artsCo good <br>org in charge of new building. they are an umbrella <br>organization, re-established. high quality of printing further down the road. <br>",something help film industry   look take original script produce play produce film   lot studio space film could double filling performance space amateur semiprofessional film studio   bumperstudio   censorship program put show producer director film different performanceplay could share space   black box convert flexible adaptable space make black box great place   last year open new film studio near airport   art good org charge new building   umbrella organization reestablish   high quality printing   road  ,Positive,0.9593,2,Venues need to be more accessible and subsidized for artists,1.9098413,2.7269645
Kelowna City Concert Band,V1Y 1J4,49.88807,-119.49593300000001,"new concert hall is needed with a recital hall attached. 500-600 <br>for smaller one, 1200 seat concert hall - larg4er than <br>KCC because city is going to grow. storage and rehearsal <br>space. ",new concert hall need recital hall attach    small one seat concert hall   large kcc city go grow   storage rehearsal space  ,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,1.1127361,0.5298631
Kelowna City Concert Band,V1Y 1J4,49.88807,-119.49593300000001,"when you look at all the halls that have been built <br>in other cities cities havent driven these, but supported these <br>like land contribution. city needs to support, get a committee, <br>but cant rely on city 100% look at vernon performance <br>hall, much better than KCC. city keeps upgrading KCC it <br>will never be a home. city could identify a site <br>and reserve concert like old police station, in cultural district. <br>requires partnerships, need professionals involved in it. city support. ",look hall build city   city drive support like land contribution   city need support get committee rely city   look vernon performance hall much good kcc city keep upbraid kcc never home   city could identify site reserve concert   like old police station cultural district   require partnership need professional involve   city support  ,Positive,0.9657,3,Develop smaller theatres and cultural facilities in the city,1.3820724,-0.04640285
Kelowna City Concert Band,V1Y 1J4,49.88807,-119.49593300000001,two city owned theatres. rents are high. support groups - need <br>cheaper rents. nice to be able to go there. affordability <br>component for these spaces. concert band. is good. ,two city own theater rent high   support group   need cheap rent nice able go   affordability component space   concert band good  ,Positive,0.8126,2,Venues need to be more accessible and subsidized for artists,0.063995115,0.94247836
Cool Arts,V1Y 6Z1,49.89175,-119.494207,"Balance between performance and exhibition space, shared artists or maker studio <br>space that is accessible in terms of location and costs. <br>could be downtown but broaden outside cultural district, near transit <br>and parking. The alternator and Kelowna art gallery is doing <br>a good job on exhibitions, bringing high caliber art from <br>outside Okanagan to Okanagan. Alternator plan exhibition 1-2 yrs in <br>advance. Need exhibition space more local, dynamic, fluid, current. We <br>exhibit at cafes, and record store great, gets art out <br>there, different than being exhibited in proper gallery- lacks legitimate <br>and. ",balance performance exhibition space share artist maker studio space accessible term location cost could downtown broaden outside cultural district near transit parking   alternate kelowna art gallery good job exhibition bring high calibre art outside okanagan okanagan   alternator plan exhibition   yes advance   need exhibition space local dynamic fluid current   exhibit case record store   great get art different exhibit proper gallery lack legitimate  ,Positive,0.9434,2,Venues need to be more accessible and subsidized for artists,2.2659361,1.7299241
Cool Arts,V1Y 6Z1,49.89175,-119.494207,"City is in a difficult position. part of it is also <br>could be doing a soft promotion to developers who are <br>building towers that could have community space designed in lower <br>floors. leverage real estate, social payoff and social good for <br>exchange of building towers. Understand land downtown is expensive. maybe <br>city could purchase? Not sure if they can. their power <br>and influence all new towers have to donate to community <br>centre. ",city difficult position part also could soft promotion developer build tower could community space design low floor beverage real estate social payoff social good exchange building tower   understand land downtown expensive maybe city could purchase sure power influence new tower donate community centre,Negative,-0.4141,3,Develop smaller theatres and cultural facilities in the city,1.8718096,0.053220395
Cool Arts,V1Y 6Z1,49.89175,-119.494207,"Past arts and culture staff at city did a great job <br>target arts orgs and teaching them to get sponsors. Could <br>be an education program target businesses letting them know benefits <br>about being sponsors. Kelowna is an entrepreneurial town. Even if <br>every business sponsors 500 each. Maybe city can approach chamber <br>of commerce? There is a market for small to medium <br>sized businesses. Donation. sponsorship, display. City is super supportive with <br>new dev grants, public arts grants, willing to work with <br>smaller orgs. ",last art culture staff city great job target art org teach get sponsor   would education program target business let know benefit sponsor   kelowna entrepreneurial town   even every business sponsor   maybe city approach chamber commerce market small medium sized business   donation sponsorship display   city super suppurative new de grant public art grant willing work small org  ,Positive,0.9393,3,Develop smaller theatres and cultural facilities in the city,1.9891493,1.1721461
Okanagan Chinese Canadian Association,V1Y 7W8,49.889845,-119.48961499999999,"grassroots ethnic groups - wants most important to them we have <br>the same needs of culture and language - need classrooms <br>and performance studios intangible things like event organizational skills. RCA <br>- more arts focused art studios, but not really community <br>organizing. What is unique about us there is a unique <br>heritage and knowledge when we get together we can capture <br>and develop - and each support each other to develop <br>each of our identities, creates new way of thinking. not <br>important about individuals, its about culture and sharing and discussion, <br>arts coming from that perspective. comes from community organization facility <br>to meet that need. arts is a by-product. ",grassroots ethnic group   want important need culture language   need classroom performance study intangible thing like event organizational skill   rca   art focus art study really community organizing   unique -PRON- unique heritage knowledge get together capture develop   support develop identify create new way thinking   important individual culture sharing discussion art come perspective come community organization facility meet need art product  ,Positive,0.9411,1,Facilities should be more affordable,1.9023998,-2.0381575
Okanagan Chinese Canadian Association,V1Y 7W8,49.889845,-119.48961499999999,sustainable funding to have a permanent staff. ,sustainable funding permanent staff,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.87648517,0.14030474
