Response,CleanedResponse,Topic,Topic_Description,X,Y
Summer music in the parks; Rotary Centre; Kelowna Art Gallery; heritage <br>registry ,summer music park gallery heritage registry,3,"Music, festival, museum, gallery",6.586873,0.8473097
Advertising events ,advertising,3,"Music, festival, museum, gallery",1.6876231,-0.24940678
Parks Alive concerts Canada Day Pops Concert Fireworks displays OSO Ballet <br>Kelowna Opera Kelowna Kelowna City Concert Band Outdoor pianos busking <br>stations ,park alive concertscanada pop concertfireworks displaysosoballet kelownaopera concert bandoutdoor pianosbusking station,3,"Music, festival, museum, gallery",8.343227,0.8570922
The Art Walk is amazing. The downtown cultural area is getting <br>better every year right here in Kelowna. I think that <br>the July 1st cultural events in the rink are amazing <br>but the parking problem makes it difficult to attend. The <br>museums are lovely. ,walk amaze downtown cultural right think july cultural rink amazing parking problem difficult attend museum lovely,2,"Heritage, job opportunity, family oriented, artist",-9.041732,-8.543737
The theatres are well organized. The art gallery has some area <br>for local art on a limited basis. Music downtown seems <br>to concentrate on rock and jazz. ,theatre organize gallery local limited basis music downtown concentrate rock jazz,3,"Music, festival, museum, gallery",8.20224,1.3239084
The Rotary Center for the Arts does is incredible The initiative <br>to have local art at the airport is impressive Tourist <br>Center Kelowna web site ,center incrediblethe initiative local airport impressivetourist centerkelowna web site,2,"Heritage, job opportunity, family oriented, artist",-9.121559,-8.342509
"wine festival, Sihk festival last spring in Rutland ",wine festival sihk festival spring rutland,3,"Music, festival, museum, gallery",6.2970624,0.81364197
A good variety of events happening. ,good variety happen,1,"Diversity, park, theatre, facility",-10.204425,11.654718
Parks Alive...well planned & advertised ,park alivewell plan advertise,2,"Heritage, job opportunity, family oriented, artist",-7.9817896,-6.498559
"The Cultural District and nearby waterfront parks add a lot to <br>the vibrancy of cultural activities, events, and just as a <br>place to walk. Parks Alive brings people to different parks <br>and heritage sites. There is always a lot going on <br>and a lot of opportunities to collaborate in cultural events <br>and offerings. ",cultural district nearby waterfront park add lot vibrancy cultural activity walkpark alive bring different park heritage sitesthere lot lot opportunity collaborate cultural offering,2,"Heritage, job opportunity, family oriented, artist",-8.87065,-8.166044
